,x,y,amount,person,country
211,83.20139918283998,32.783691118473605,78,#17B890,China
212,89.9364671660932,31.345114152378986,78,#17B890,China
213,118.01446465084842,39.35673836251148,78,#17B890,China
214,30.551401568303675,-2.2476837539535595,2,#17B890,Rwanda
215,129.32634520305095,43.04778491267582,78,#17B890,China
216,101.68991714602687,-2.669478009560981,21,#17B890,Indonesia
217,94.97466585393349,34.833029257488505,78,#17B890,China
218,96.674048381428,32.52175950940165,78,#17B890,China
219,25.452880976965147,2.892652758463953,13,#17B890,"Congo, the Democratic Republic of the"
220,38.97197735599636,-2.795195821999017,3,#17B890,Kenya
221,-75.59551261772468,-2.5249122905493504,1,#17B890,Peru
222,28.34459577506285,-26.256267492292203,6,#17B890,South Africa
223,118.9045274958527,45.58778544262768,78,#17B890,China
224,78.9670915934424,41.3711595402049,78,#17B890,China
225,49.31626497007227,15.348830564239204,2,#17B890,Yemen
226,101.40652284088483,38.37050453111094,78,#17B890,China
227,94.46866721430976,40.33774505827866,78,#17B890,China
228,68.73819760803859,35.457809634668415,9,#17B890,Afghanistan
229,85.15354454013554,40.607602856383124,78,#17B890,China
230,4.407294191828866,9.522634645674206,7,#d52d1f,Nigeria
231,123.66239438015931,49.885637673760726,78,#17B890,China
232,23.055148974394847,4.058043887021174,2,#d52d1f,"Congo, the Democratic Republic of the"
233,23.03660063605781,-6.817253017582922,13,#17B890,"Congo, the Democratic Republic of the"
234,34.380698306414615,16.296084635017603,4,#17B890,Sudan
235,137.6352772109869,-4.192716911817366,21,#17B890,Indonesia
236,29.13756448904845,-9.702486480587694,2,#17B890,Zambia
237,63.8743002441698,35.22892828360101,9,#17B890,Afghanistan
238,124.66514816966662,-9.439551129705992,21,#17B890,Indonesia
239,-6.057395956006344,6.155525744950699,5,#17B890,Côte d'Ivoire
240,116.09883760910697,39.149974354793756,78,#17B890,China
241,11.19074908056999,2.861114708990999,6,#17B890,Cameroon
242,139.11138759517067,-5.423755059387152,21,#17B890,Indonesia
243,12.481027260678093,17.381349219956785,7,#17B890,Niger
244,88.2532410158869,31.701628177195555,78,#17B890,China
245,23.69473546285736,50.713356601038505,3,#17B890,Poland
246,115.78772186562477,40.65772203070601,78,#17B890,China
247,107.64191543795646,12.36177975307391,4,#17B890,Viet Nam
248,27.039445645567582,7.132591565172295,4,#17B890,Sudan
249,14.975825432843171,21.67858522176717,7,#17B890,Niger
250,-85.3632925460567,35.20762351229697,5,#17B890,United States
251,65.84510269309652,31.711199442730514,9,#17B890,Afghanistan
252,127.04036311070115,49.21728373879516,78,#17B890,China
253,52.07669066976216,16.14469372645778,2,#17B890,Yemen
254,-54.43654729521552,-23.291277728212414,3,#17B890,Brazil
255,118.8958580515097,43.91530568858066,78,#17B890,China
256,95.46290526034278,39.63315531289783,78,#17B890,China
257,37.883008651272355,3.8110975979637476,2,#d52d1f,Ethiopia
258,54.96061055980552,47.619940552715825,2,#17B890,Kazakhstan
259,29.76526809345214,-6.572471942093156,8,#17B890,"Tanzania, United Republic of"
260,6.631777500175584,49.57827617828289,5,#17B890,Germany
261,120.99478892010825,40.85544344661244,78,#17B890,China
262,72.24361000219633,32.05528571340481,8,#17B890,Pakistan
263,48.54172893476418,22.44283422939791,3,#17B890,Saudi Arabia
264,-70.60426309095891,4.084418007877495,4,#17B890,Colombia
265,111.75858907224284,33.44346175175452,78,#17B890,China
266,110.64028053365087,24.205688117014667,78,#17B890,China
267,-49.12608505620807,-18.110385749862502,3,#17B890,Brazil
268,161.1030199099546,65.59420572525755,4,#17B890,Russian Federation
269,3.198994052999072,14.713657326182885,7,#17B890,Niger
270,9.329920653586685,11.885069693842233,11,#17B890,Nigeria
271,-0.1665558097651294,13.373528280821878,2,#17B890,Burkina Faso
272,102.23236335567995,2.9942745307953302,1,#17B890,Malaysia
273,2.1177445428209705,21.53450126279622,2,#17B890,Algeria
274,36.46709537183458,17.256578274258015,4,#17B890,Sudan
275,44.60982460471627,42.193544076861926,1,#17B890,Georgia
276,85.34147749341308,37.68331547588187,78,#17B890,China
277,139.4271020112466,-5.703704743200598,21,#17B890,Indonesia
278,72.15258050594737,28.507765153333136,8,#17B890,Pakistan
279,122.34650232519297,52.98180686969256,78,#17B890,China
280,29.737755641357587,-29.06944514013456,6,#17B890,South Africa
281,6.83449904457365,13.474971158860544,7,#17B890,Niger
282,68.58229754827735,37.546625951593384,1,#17B890,Tajikistan
283,34.94645505774999,5.478820290118538,4,#17B890,Sudan
284,5.616855451623451,13.268129529460154,11,#17B890,Nigeria
285,20.55860735828218,0.6293617404510972,13,#17B890,"Congo, the Democratic Republic of the"
286,99.46359341397275,16.34657539092639,2,#17B890,Thailand
287,35.1929257337331,-8.024865564861386,8,#17B890,"Tanzania, United Republic of"
